FIPS,State,Area_name, Employed_2013, Unemployed_2013,Unemployment_rate_2013,Median_Household_Income_2013, Employed_2014, Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2014, Employed_2015, Unemployed_2015,Unemployment_rate_2015,Median_Household_Income_2015, Employed_2016, Unemployed_2016,Unemployment_rate_2016,Median_Household_Income_2016,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018
34000,NJ,New Jersey,"4,173,828","374,732",8.2,"$1,396,011.00 ","4,183,541","303,497",6.8,"$1,419,167.00 ","4,229,158","259,843",5.8,"$1,456,315.00 ","4,252,062","222,627",5,"$1,475,455.00 ",4247535,205990,4.6,"$1,529,652.00 ","4,239,567","183,375",4.1,"$1,606,570.00 "
34001,NJ,"Atlantic County, NJ","121,628","16,079",11.7,"$41,664.00 ","117,879","13,907",10.6,"$42,201.00 ","114,274","12,109",9.6,"$43,244.00 ","113,483","9,091",7.4,"$44,053.00 ",110060,8562,7.2,"$44,771.00 ","111,968","7,001",5.9,"$46,557.00 "
34003,NJ,"Bergen County, NJ","449,009","32,389",6.7,"$79,037.00 ","451,477","25,982",5.4,"$82,001.00 ","456,727","22,549",4.7,"$81,615.00 ","458,743","20,044",4.2,"$84,309.00 ",456948,18500,3.9,"$88,512.00 ","455,773","16,228",3.4,"$93,205.00 "
34005,NJ,"Burlington County, NJ","215,038","17,917",7.7,"$74,285.00 ","213,837","14,693",6.4,"$76,868.00 ","217,756","12,303",5.3,"$80,479.00 ","219,995","10,276",4.5,"$74,844.00 ",220764,9410,4.1,"$80,081.00 ","218,877","8,568",3.8,"$86,777.00 "
34007,NJ,"Camden County, NJ","233,809","24,261",9.4,"$58,572.00 ","232,309","19,401",7.7,"$57,641.00 ","236,249","16,327",6.5,"$61,685.00 ","238,823","13,890",5.5,"$63,589.00 ",240342,12875,5.1,"$65,838.00 ","238,357","11,588",4.6,"$65,817.00 "
34009,NJ,"Cape May County, NJ","42,349","7,040",14.3,"$48,691.00 ","42,607","5,944",12.2,"$49,443.00 ","42,694","5,344",11.1,"$51,322.00 ","42,076","4,585",9.8,"$53,981.00 ",41862,4235,9.2,"$55,875.00 ","41,945","3,840",8.4,"$58,324.00 "
34011,NJ,"Cumberland County, NJ","61,557","8,187",11.7,"$34,109.00 ","60,908","6,701",9.9,"$34,349.00 ","61,503","5,954",8.8,"$35,366.00 ","61,374","4,961",7.5,"$36,814.00 ",60747,4542,7,"$37,408.00 ","60,128","4,161",6.5,"$38,893.00 "
34013,NJ,"Essex County, NJ","343,127","36,840",9.7,"$54,783.00 ","343,438","29,992",8,"$55,369.00 ","345,364","25,701",6.9,"$57,817.00 ","345,779","22,129",6,"$60,131.00 ",346604,20786,5.7,"$61,287.00 ","345,495","18,851",5.2,"$63,554.00 "
34015,NJ,"Gloucester County, NJ","136,764","13,541",9,"$44,895.00 ","136,672","10,780",7.3,"$45,826.00 ","139,287","8,984",6.1,"$47,305.00 ","141,431","7,537",5.1,"$49,636.00 ",142127,7031,4.7,"$50,589.00 ","140,940","6,235",4.2,"$52,506.00 "
34017,NJ,"Hudson County, NJ","331,172","28,300",7.9,"$47,628.00 ","334,435","22,756",6.4,"$48,344.00 ","339,480","19,319",5.4,"$51,776.00 ","342,335","16,817",4.7,"$55,354.00 ",344612,15684,4.4,"$57,081.00 ","343,787","13,852",3.9,"$59,623.00 "
34019,NJ,"Hunterdon County, NJ","62,694","3,896",5.9,"$103,301.00 ","62,135","3,187",4.9,"$107,203.00 ","62,076","2,758",4.3,"$103,876.00 ","61,793","2,422",3.8,"$102,797.00 ",61229,2245,3.5,"$113,336.00 ","60,971","2,049",3.3,"$113,083.00 "
34021,NJ,"Mercer County, NJ","179,786","14,128",7.3,"$67,662.00 ","182,465","11,420",5.9,"$70,575.00 ","186,569","9,838",5,"$73,750.00 ","188,408","8,587",4.4,"$72,172.00 ",187528,8053,4.1,"$76,988.00 ","189,277","7,217",3.7,"$78,161.00 "
34023,NJ,"Middlesex County, NJ","399,517","32,566",7.5,"$77,044.00 ","405,617","26,391",6.1,"$76,515.00 ","413,173","22,439",5.2,"$77,330.00 ","416,825","19,334",4.4,"$78,249.00 ",418904,17838,4.1,"$82,183.00 ","419,262","15,791",3.6,"$85,187.00 "
34025,NJ,"Monmouth County, NJ","304,017","24,741",7.5,"$81,190.00 ","305,755","19,770",6.1,"$83,424.00 ","309,267","16,886",5.2,"$87,220.00 ","311,922","14,554",4.5,"$86,722.00 ",311151,13379,4.1,"$89,968.00 ","311,236","11,870",3.7,"$97,627.00 "
34027,NJ,"Morris County, NJ","248,681","16,351",6.2,"$95,236.00 ","247,132","13,136",5,"$99,950.00 ","247,878","11,361",4.4,"$100,511.00 ","247,799","10,120",3.9,"$101,754.00 ",245505,9265,3.6,"$107,019.00 ","244,696","8,288",3.3,"$114,269.00 "
