"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1497.5,1497.5,1500,1347.5,1340,1350,1389,1250,1295,1295,1295,1300,1295,1295,1250,1200,1200,1195,1150,1195,1250,1300,1300,1305,1315,1302.5,1325,1355,1395,1395,1335,1350,1435,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1520,1575,1595,1595,1595,1630,1623,1685,1695,1695,1700.5,1745,1749.5,1777,1789,1750,1844,1795,1850,1895,1900,1911.5,1885,1890,1944,1800,1838,1795,1795,1795,1868,1925,1995,1995,1975,1995,2000,1995,1990,1995,1975,1975,1950,1978,1978,1940,2004,2100,2134,2195,2167,2200,2205,2200,2195,2197.5,2220,2250,2250,2250,2262.5
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1105,1140,1100,1099,1025,985,1118.5,1295,1300,1342,1168,1240,1216,1250,1275,1350,1300,1275,1300,1295,1291,1315,1335,1275,1200,1177.5,1250,1300,1300,1300,1375,1430,1395,1425,1422,1540,1455,1495,1505.5,1549,1550,1550,1525,1500,1550,1607,1595,1500,1479,1450,1440,1485,1603,1450,1640,1670,1635,1425,1550,1624,1450,1450,1465,1450,1400,1420,1595,1662,1758,1675,1622,1690,1545,1500,1495,1470.5,1425,1430,1434.5,1415,1500,1500,1475,1465,1470,1450,1475,1475,1475,1488.5,1550,1585,1595,1550,1540,1545,1545,1550,1545,1535,1550,1558.5,1550,1545,1580,1595,1621,1640,1650,1598,1596,1590,1550
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,1032,999,1035,1122,1134.5,1120,1102,1143,1157,1099,1090,1085,1100,1110,1134,1156.5,1153,1150,1145,1153.5,1160,1295,1289,1299,1225,1250,1215,1213,1193,1158.5,1119.5,1150,1108,1049,1099,1145,1185,1195,1200,1205,1187,1182,1195.5,1207,1219,1230,1247,1249,1273.5,1279,1270,1263,1265,1260,1260,1249,1245,1249,1238,1225,1225,1250,1250,1250,1260,1245
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,662.5,659,650,650,659,675,689,675,674,675,680,699,697,699,700,690,688,695,699,694,689,689,697,688,689,680,680,700,732.5,725,725,735,725,729,709,725,715,720,730,745,750,759,775,795,785,795,795,800,815,804,817,925,919,900,948,925,925,978,896,920,926,897,865,856,920,972,1069,1095,1035,1025,1008.5,984,981,975,974,960,960,980,1009,1030,1031,1037.5,1050,1060,1056,1080,1071,1074,1084,1104,1105.5,1162,1178,1175,1177
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,1250,1250,1220,1200,1217.5,1250,1295,1345,1350,1275,1200,1205,1248,1250,1295,1245,1240,1250,1248,1250,1294.5,1285,1309,1295,1225,1245,1240,1244,1225,1200,1100,1175,1295,1250,1175,1300,1350,1300,1295,1350,1500,1495,1479,1500,1500,1509.5,1552.5,1501,1593,1630,1570,1600,1600,1610,1629,1680,1695,1645,1645.5,1655,1650,1655,1695,1655,1600,1622.5,1815,1646,1735,1603,1620,1600,1659,1700,1732,1750,1778,1775,1795,1785,1780,1755,1746.5,1730,1750,1777,1781.5,1860,1900,1921,1939.5,1907,1897,1888.5,1895,1899,1895,1895,1860,1873.5,1895,1907,1950
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1385,1400,1395,1395,1572.5,1650,1395,1300,1345,1339.5,1350,1350,1350,1350,1395,1425,1395,1395,1380,1325,1350,1375,1360,1350,1350,1350,1352,1370.5,1375,1372,1405,1370,1379,1365,1380,1399,1428,1399,1395,1400,1375,1400,1495,1500,1490,1625,1605,1590,1585,1590,1605,1600,1600,1627,1675,1725,1725,1730,1730,1740,1721,1715,1723,1721.5,1730,1736.5,1745,1765,1770,1795,1805,1830,1850,1818,1837,1827,1823,1818,1850,1815,1855,1825,1870,1905,1905,1910,1930,1930,1929,1948,1945,1950,1960,1927,1925,1947,1957,1970,1991,1989,1985,1995,2005,2010,2005,2003,1980,2015,2045,2045,2017.5,2015,2020
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.5,2000,2000,2100,2100,2150,2147,2150,2100,2100,2000,2000,2050,2000,2050,2100,2100,2100,2108,2100,2102,2100,2099,2000,2000,2000,2000,2099,2150,2100,2123
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,1490,1450,1450,1400,1432.5,1350,1450,1500,1456.5,1450,1499,1449,1400,1425,1425,1450,1450,1400,1400,1450,1400,1450,1500,1497,1500,1500,1500,1550,1550,1525,1534.5,1500,1497,1495,1500,1500,1500,1550,1595,1600,1650,1750,1750,1650,1650,1699,1700,1690,1699,1650,1600,1650,1680,1700,1690,1677,1650,1695,1700,1700,1750,1800,1800,1850,1899,1850,1900,1850,1850,1875,1869.5,1900,1900,1900,1850,1850,1825,1800,1795,1800,1800,1850,1750,1795,1775,1800,1790,1799,1800,1799,1800,1800,1800,1800,1779.5,1800,1800,1800,1825,1850,1850,1850,1849,1850,1845,1824,1800,1850,1850,1850,1850,1850,1850,1825
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,1250,1185,1255,1127,950,950,919,900,920,919,838.5,845,745,704,808.5,845,896,950,865,920,950,920,885,950,950,968,1024,1104,1009,1030,1034,1000,1040,1055,995,1060,1095,1125,1121,1150,1109,1100,1128,1100,1138,1098,1060,1045,1060,1142,1150,1120,1100,1100,1125,1125,1139,1150,1150,1186,1165,1200,1200,1200,1209,1242,1228,1200,1209,1189,1189,1275,1219,1211,1160,1275,1280,1285,1275,1290,1301,1306,1315,1293,1280,1315,1295,1300,1339,1313,1299,1334,1340,1350,1350,1325,1339,1350,1325,1332,1355,1350,1350,1350,1330,1330
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1200,1200,1300,1287.5,1300,1300,1300,1350,1400,1400,1450,1375,1375,1400,1400,1405,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1550,1575,1575,1551,1550,1595,1600,1600,1625,1675,1750,1750,1775,1750,1700,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1782.5,1795,1799,1800,1800,1800,1850,1850,1850,1825,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1930,1975,1850,1850,1770,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1799,1800,1800,1800,1800,1800,1800,1825,1850,1825,1800,1800,1800,1803,1849,1850,1850,1850,1850
