,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
0,Bergen County,NJ,New York-Newark-Jersey City,,,2467.5,2542.9166666666665,2541.6666666666665,2604.9583333333335
1,Middlesex County,NJ,New York-Newark-Jersey City,2020.0,2058.3333333333335,2088.75,2124.7916666666665,2247.9166666666665,2263.1666666666665
2,Essex County,NJ,New York-Newark-Jersey City,1310.4166666666667,1287.5,1329.1666666666667,1388.9583333333333,1466.25,1575.0
3,Hudson County,NJ,New York-Newark-Jersey City,,,2018.0416666666667,2456.6666666666665,2327.9166666666665,2347.4583333333335
4,Monmouth County,NJ,New York-Newark-Jersey City,2241.875,2254.1666666666665,2332.5,2312.5,2370.8333333333335,2445.8333333333335
5,Ocean County,NJ,New York-Newark-Jersey City,1170.8333333333333,1560.4166666666667,1564.375,1625.0,1724.1666666666667,1757.8333333333333
6,Union County,NJ,New York-Newark-Jersey City,284.375,1636.4583333333333,1665.4166666666667,1869.1666666666667,1868.75,1897.9166666666667
7,Camden County,NJ,Philadelphia-Camden-Wilmington,,,,381.625,1762.5,1681.25
8,Passaic County,NJ,New York-Newark-Jersey City,1791.6666666666667,1612.0833333333333,1668.75,1746.875,1859.1666666666667,1919.375
9,Morris County,NJ,New York-Newark-Jersey City,,,,,2541.1666666666665,2597.2916666666665
10,Burlington County,NJ,Philadelphia-Camden-Wilmington,,,,,992.0833333333334,1717.9166666666667
11,Mercer County,NJ,Trenton,,,,,,878.125
12,Somerset County,NJ,New York-Newark-Jersey City,,,,,2189.5833333333335,2135.8333333333335
13,Gloucester County,NJ,Philadelphia-Camden-Wilmington,,,,,1470.0,1571.1666666666667
14,Atlantic County,NJ,Atlantic City-Hammonton,,,,1529.4166666666667,1548.9166666666667,1541.0
