"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,2850,3000,3150,3200,3200,3300,3400,3172.5,3225,3100,3400,3000,3050,2995,3000,2995,3000,3000,2950,2800,2895,2850,2800,2800,2800,2795,2600,2700,2700,2595,2577.5,2550,2495,2450,2350,2429,2500,2400,2400,2400,2450,2450,2495,2500,2480,2400,2500,2500,2400,2400,2495,2500,2700,2750,2750,2700,2750,2800,2800,2800,2800,2800,2900,2995,3000,3000,3150,3100,3000,3100,3000,3000,3150,3295,3200,3200,3295,3261.5,3000,3300,3085,3300,3000,3095,3300,3495,3500,3500,3500,3495,3500,3500,3495,3400,3350,3400,3400,3400,3500,3500,3600,3500,3500,3500,3500,3500,3500,3500,3550,3595,3590,3600,3700,3700
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,,,,,2100,2200,2360,2475,2475,2425,2400,2350,2275,2105,2100,2100,2095,2160,2100,2176,2300,2200,2150,2000,1992.5,1834,1900,1800,1750,2000,1932.5,2160,2200,2258,2000,1900,1850,1787.5,1995,1895,1800,1895,2000,2261,2400,2362.5,2400,2250,2150,2200,2200,2112.5,2100,2200,2200,2400,2500,2475,2395,2155,2100,2145,1995,2000,2000,2150,2200,2400,2400,2495,2400,2050,1995,1895,1850,1800,1995,2100,2300,2495,2500,2500,2400,2200,2000,1995,2000,2095,2145,2395,2500,2695,2800,2650,2475,2400,2300,2300,2300,2350,2335,2445,2795,2995,3100,2995
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,1750,1750,1625,1600,1550,1500,1592.5,1595,1600,1595,1550,1525,1500,1525,1500,1500,1500,1500,1500,1495,1500,1475,1450,1495,1500,1525,1500,1400,1450,1450,1500,1500,1550,1550,1560,1570,1600,1600,1650,1600,1550,1600,1600,1500,1500,1550,1650,1695,1700,1750,1700,1700,1700,1700,1700,1700,1739,1750,1795,1775,1795,1799.5,1800,1795,1795,1795,1750,1750,1800,1835,1800,1800,1795,1800,1795,1700,1700,1650,1700,1700,1700,1795,1795,1795,1795,1795,1795,1750,1750,1750,1750,1750,1750,1800,1825,1845,1845,1800,1795,1750,1750,1750,1795,1795,1795,1825,1850,1850,1850
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,1235,1385,1395,1400,1395,1495,1300,1250,1325,1295,1295,1279,1331,1249,1295,1275,1250,1249,1250,1200,1250,1250,1250,1250,1200,1200,1200,1200,1300,1275,1325,1300,1250,1300,1300,1390,1295,1395,1500,1500,1500,1500,1550,1550,1500,1475,1302.5,1499.5,1500,1500,1450,1450,1395,1298,1396,1364,1395,1347,1350,1350,1400,1499,1500,1595,1595,1595,1595,1600,1550,1499,1550,1550,1581.5,1620,1550,1597.5,1625,1600,1645,1650,1600,1650,1600,1600,1656,1650,1785,1700,1800,1795,1700
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,2800,2900,2950,2950,2800,2700,2600,2500,2500,2550,2600,2550,2550,2500,2400,2460,2500,2500,2500,2495,2450,2462.5,2400,2450,2495,2500,2500,2500,2500,2595,2695,2695,2620,2500,2600,2572.5,2500,2500,2500,2700,2695,2700,2750,2700,2650,2700,2750,2849,2849,2800,2848.5,2850,2850,2850,2850,2840,2800,2800,2797.5,2824,2995,3000,2900,2950,2895,2850,2850,2895,2849,2895,2800,2995,3000,3000,3200,3300,3295,3200,3200,3200,3100,3000,3090,3200,3200,3250,3250,3400,3300,3400,3350,3300,3200,3250,3350,3300,3300,3400,3500,3495,3450,3495
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,3200,3350,3484,3300,3300,3200,3200,3150,3100,3100,3200,3220,3375,3100,3000,3200,3200,3200,3200,3100,3200,3100,3150,3100,3200,3200,3300,3300,3350,3400,3300,3300,3250,3297.5,3256.5,3295,3200,3200,3300,3400,3470,3500,3495,3500,3495,3400,3495,3500,3500,3482.5,3500,3500,3595,3550,3550,3500,3500,3550,3590,3562.5,3600,3595,3500,3500,3700,3595,3500,3495,3500,3600,3500,3650,3750,3800,3800,3800,3800,3800,3800,3800,3800,3790,3800,3800,3895,3895,3900,4000,3995,3950,3950,3900,3900,3900,3900,3900,3900,3950,3950,3985,4000,4000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2800,2950,3200,3200,3249.5,3400,3200,3000,3000,3000,3000,3150,3200,3200,3200,3399,3400,3300,3272.5,3200,3200,3200,3200,3200,3300,3599,3350,3400,3497,3500,3475,3300,3250,3300,3300,3300,3300,3400,3500,3600,3600,3599,3550,3500,3500,3500,3500,3500,3600,3600,3600,3654.5,3750,3848,3750,3300,3400,3200,3200,3399,3400,3500,3500,3500,3500,3483,3300,3300,3400,3390,3385,3500,3500,3600,3600,3599,3400,3495,3400,3400,3399,3300,3300,3499,3500,3550,3700
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,2500,2450,2400,2350,2350,2300,2300,2300,2300,2400,2400,2400,2495,2500,2400,2377.5,2400,2400,2400,2325,2300,2300,2400,2350,2450,2500,2500,2450,2400,2495,2500,2500,2465,2450,2430,2400,2490,2500,2500,2499,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2600,2575,2500,2500,2600,2680,2680,2662.5,2700,2600,2675,2650,2650,2600,2500,2500,2600,2500,2500,2600,2600,2700,2700,2800,2750,2750,2800,2775,2795,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2784,2750,2750,2800,2800,2800,2850,2850,2800,2800
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,1500,1450,1525,1600,1550,1480,1450,1450,1400,1395,1395,1395,1495,1395,1395,1450,1400,1400,1400,1400,1445,1400,1400,1400,1400,1400,1450,1425,1415,1450,1495,1450,1400,1475,1400,1400,1400,1450,1550,1575,1600,1597.5,1500,1500,1545,1575,1595,1600,1650,1650,1650,1699.5,1750,1799,1695,1650,1695,1700,1660,1695,1700,1699.5,1695,1725,1750,1795,1695,1675,1700,1650,1747,1750,1750,1847.5,1950,1950,1990,1950,1900,1875,1895,1895,1850,1800,1830,1895,1882.5,1900,1895,1850,1827.5,1850,1850,1850,1875,1895,1895,1995,2000,1997,1985
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,2300,2300,2200,2100,2072.5,2000,1885,1900,2150,2200,2300,2200,2200,2300,2350,2300,2200,2170,2375,2400,2400,2400,2499,2500,2550,2999.5,2800,2800,2999.5,3000,3000,3000,3000,3000,3000,3000,3205,3000,3000,3000,2900,2900,2900,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3000,3000,3050,3200,3400,3400,3399,3350,3272.5,3300,3395,3400,3100,3000,3000,3012.5,3100,3200,3200,3000,3200,3200,3200,3000,3200,3100,3000,2950,3000,3150,3200,3185,3200,3200,3100,3000,3000,3000,3100,3000,3000,3000,3100,3095
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,2100,2200,2200,2300,2300,2150,2100,2000,2347.5,2400,2000,2000,1995,2000,2100,2000,1995,1950,1900,1900,1900,1900,1895,1850,1850,1795,1800,1819,1802.5,1800,1795,1795,1800,1795,1795,1795,1795,1800,1837.5,1850,1850,1850,1850,1850,1800,1850,1850,1800,1800,1800,1899,1900,1900,1900,1900,1900,1900,1900,1900,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2050,2095,2100,2095,2095,2050,2050,2000,2000,2100,2000,2099.5,2195,2195,2200,2200,2275,2295,2250,2280,2250,2200,2295,2295,2300,2295,2300,2347.5,2350,2350,2300,2300,2300,2350,2395,2400,2400,2400,2450,2450,2450,2410
