,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
0,Bergen County,NJ,New York-Newark-Jersey City,1995.875,2247.5,2336.4583333333335,2322.9166666666665,2401.0416666666665,2465.625
1,Middlesex County,NJ,New York-Newark-Jersey City,1793.75,1818.75,1836.6666666666667,1872.9166666666667,1953.5416666666667,1964.375
2,Essex County,NJ,New York-Newark-Jersey City,232.08333333333334,1517.5833333333333,1518.75,1595.3333333333333,1737.2916666666667,1758.3333333333333
3,Hudson County,NJ,New York-Newark-Jersey City,1985.4166666666667,2104.1666666666665,2307.5833333333335,2252.0833333333335,2260.4166666666665,2244.7916666666665
4,Monmouth County,NJ,New York-Newark-Jersey City,2086.25,2112.5,2162.0833333333335,2158.3333333333335,2279.1666666666665,2368.75
5,Ocean County,NJ,New York-Newark-Jersey City,1571.625,1530.2083333333333,1595.625,1620.8333333333333,1665.4166666666667,1724.5833333333333
6,Union County,NJ,New York-Newark-Jersey City,1718.9583333333333,1900.0,1963.9583333333333,2055.8333333333335,2089.4166666666665,2123.9583333333335
7,Camden County,NJ,Philadelphia-Camden-Wilmington,1298.3333333333333,1377.5,1417.7083333333333,1414.5833333333333,1437.5,1453.8333333333333
8,Passaic County,NJ,New York-Newark-Jersey City,1519.7916666666667,1652.0833333333333,1686.25,1689.1666666666667,1742.7083333333333,1858.75
9,Morris County,NJ,New York-Newark-Jersey City,2134.3333333333335,2283.3333333333335,2329.1666666666665,2320.8333333333335,2412.7083333333335,2451.875
10,Burlington County,NJ,Philadelphia-Camden-Wilmington,1507.7083333333333,1534.75,1572.5,1552.9166666666667,1574.7083333333333,1597.9166666666667
11,Mercer County,NJ,Trenton,1753.3333333333333,1710.0,1733.3333333333333,1733.3333333333333,1734.0833333333333,1727.0833333333333
12,Somerset County,NJ,New York-Newark-Jersey City,1899.5833333333333,1991.6666666666667,2032.9166666666667,2045.8333333333333,2108.3333333333335,2120.8333333333335
13,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1383.3333333333333,1471.4166666666667,1491.25,1520.8333333333333,1590.625,1648.3333333333333
14,Atlantic County,NJ,Atlantic City-Hammonton,1809.375,1622.5,1604.1666666666667,1542.7083333333333,1518.75,1570.7916666666667
15,Cumberland County,NJ,Vineland-Bridgeton,,,,283.3333333333333,1196.6666666666667,1211.25
16,Sussex County,NJ,New York-Newark-Jersey City,1408.3333333333333,1472.2916666666667,1461.875,1495.8333333333333,1557.9166666666667,1620.8333333333333
17,Hunterdon County,NJ,New York-Newark-Jersey City,1757.7083333333333,1902.0833333333333,1892.7083333333333,1863.9583333333333,1910.2083333333333,1948.9583333333333
18,Warren County,NJ,Allentown-Bethlehem-Easton,1421.6666666666667,1493.0833333333333,1486.6666666666667,1516.0416666666667,1482.0833333333333,1491.6666666666667
19,Salem County,NJ,Philadelphia-Camden-Wilmington,,,,83.33333333333333,1075.625,1187.5
