,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
0,Bergen County,NJ,New York-Newark-Jersey City,,,1538.3333333333333,1591.5833333333333,1727.25,1964.6666666666667
1,Middlesex County,NJ,New York-Newark-Jersey City,,,,,1116.8333333333333,1520.7916666666667
2,Essex County,NJ,New York-Newark-Jersey City,936.6666666666666,939.9166666666666,1052.9166666666667,1107.7083333333333,1264.5416666666667,1381.3333333333333
3,Hudson County,NJ,New York-Newark-Jersey City,1816.5833333333333,1847.625,1892.5,1925.2083333333333,2029.25,2189.1666666666665
4,Monmouth County,NJ,New York-Newark-Jersey City,1246.6666666666667,1344.7916666666667,1320.5833333333333,1393.3333333333333,1406.4583333333333,1465.625
5,Ocean County,NJ,New York-Newark-Jersey City,,,,176.66666666666666,1219.7916666666667,1235.8333333333333
6,Union County,NJ,New York-Newark-Jersey City,,,1283.9166666666667,1411.4583333333333,1540.2916666666667,1591.25
7,Camden County,NJ,Philadelphia-Camden-Wilmington,843.5,809.1666666666666,914.2916666666666,962.625,1014.0,1026.4583333333333
8,Passaic County,NJ,New York-Newark-Jersey City,1118.3333333333333,1153.75,1185.4166666666667,1220.2083333333333,1278.5416666666667,1351.3333333333333
9,Morris County,NJ,New York-Newark-Jersey City,1273.5416666666667,1354.1666666666667,1548.75,1517.75,1702.0,1904.4166666666667
10,Burlington County,NJ,Philadelphia-Camden-Wilmington,935.0416666666666,974.9166666666666,1020.375,1065.2083333333333,1119.7916666666667,1143.6666666666667
11,Mercer County,NJ,Trenton,,,,,,852.2916666666666
12,Somerset County,NJ,New York-Newark-Jersey City,,,1165.8333333333333,1375.7083333333333,1463.4166666666667,1497.7916666666667
13,Gloucester County,NJ,Philadelphia-Camden-Wilmington,,,,,968.5416666666666,1088.8333333333333
14,Atlantic County,NJ,Atlantic City-Hammonton,1007.0833333333334,996.25,1062.875,1014.0833333333334,943.125,1000.8333333333334
15,Sussex County,NJ,New York-Newark-Jersey City,,,,,537.7083333333334,1153.875
16,Hunterdon County,NJ,New York-Newark-Jersey City,,,,,681.0416666666666,1328.3333333333333
