"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3950,3500,3300,3600,3975,3850,3935,4000,4000,3995,3800,3800,3750,3800,3500,3800,3800,3897.5,3999,3999,3995,3995,3995,3800,3700,3950,3699.5,3500,3500,3525,3612.5,3700,3800
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2797.5,2700,2600,2475,2400,2495,2500,2495,2320,2395,2500,2850,2950,2875,2500,2600,2600,2600,2700,2800,2862.5,2800,2875,2675,3000,2650,2850,2800,2450,2500,2600,2500,2500,2695,2700,2695,2525,2600,2690,2690,2800,2600,2500,2400,2750,2750,2850,2972.5,2695,2700,2600,2625,2695,2700,2650,2700,2700,2749.5,2900,2975,2800
"San Diego County","CA","San Diego-Carlsbad","06","073",3,,,,,,,,,,,,,,,4000,3800,3800,3825,3997.5,3800,3800,3600,3500,3800,3772.5,3950,3500,3595,3800,3500,3350,3400,3295,3100,3200,3200,3499,3100,3485,3500,3400,3500,3500,3500,3400,3420,3595,3550,3525,3500,3500,3950,4000,4000,3800,3950,3975,3995,3995,3950,4000,3950,3995,3800,3900,3710,3700,3790,3800,3800,3797.5,3995,4000,4200,4200,3997.5,3900,3700,3695,3800,3800,3950,3800,4097.5,4500,4500,4400,4425,4400,4350,4500,4300,4225,4250,4180,4500,4550,4500,4300,4500,4550,4500,4500,4250,3995,4200,4499.5,4400,4750,4795,4800,4800,4700,4500
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,,5900,6500,6250,6400,6000,6000,5925,5500,4972.5,5000,5400,5590,5450,4725,4500,4575,4500,4700,4500,4500,4500,4397.5,4800,4500,4500,4500,4500,4399.5,4500,4150,4262.5,4300,4475,4500,4500,4775,4500,4800,4600,4500,4650,4300,4400,4500,4437.5,4500,4400,4495,4500,4500,4400,4400,4400,4500,4350,4500,4650,4600,4500,4500,4600,4500,4772.5,4700,4875,4995,4900,4972.5,4950,4900,4900,4500,4600,4925,4600,4500,4500,5000,4900,4400,4500,4700,5000,5500,5000,5250,5100,5000,5275,5500,5199,5190,5000,5275,5100,5200,5000,5000,5000,4950,4950,4950,5000,5000,5200,5500,5300,5250,5500,5550,5525
"Kings County","NY","New York-Newark-Jersey City","36","047",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4200,4295,4200,4200,4200,4200,4000,4000,4200,4197,4000,3999,4100,4000,4499,4500,4500,4500,4300,4250,4400,4445.5,4500,4630,4500,4799.5,4700,4597,4698,4500,4300,4300,4397.5,4499,4200,4945,4699,4849.5,4700,4450,4583,4590,4250,3950,3850,3950,3675,4013,4400,4500,4500,4995,4900,4500,4300,4300,4200,4200,4200,4200,4397.5,5000,5099,4799.5
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3900,4000,4400,4000,4200,4000,3925,3625,3700,3950,3850,4000,4200,4450,4200,4200,4350,4500,4500,4400,3980,3999.5,4000,4000,3900,4000,4450,4500,4500,4500
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2250,2500,2500,2500,2500,2492.5,2500,2500,2400,2450,2475,2500,2200,2225,2400,2497.5,2500,2495,2425,2100,2475,2495,2777.5,2500,2200,2350,2375,2600,2762.5,2500
"Queens County","NY","New York-Newark-Jersey City","36","081",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3600,3600,3872.5,3500,3500,3550,3797,3947.5,3900,3750,3692,3700,3692,3714,3714,3799.5,3999.5
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",9,,,3000,2850,2600,2600,2850,2600,2700,2495,2475,2190,2275,2287.5,2300,2300,2300,2200,2195,2195,2195,2275,2200,2200,2250,2199.5,2172.5,2147.5,2195,2172.5,2150,2150,2190,2195,2100,2100,2195,2170,2100,2100,2095,2195,2195,2199.5,2195,2100,2150,2150,2150,2150,2150,2199,2200,2205,2250,2275,2200,2200,2200,2275,2300,2300,2300,2300,2309.5,2300,2300,2350,2400,2400,2400,2450,2350,2350,2380,2345.5,2395,2361.5,2350,2350,2350,2450,2450,2495,2499.5,2595,2550,2600,2595,2600,2600,2650,2600,2650,2672.5,2695,2700,2700,2790,2800,2700,2700,2700,2700,2675,2700,2700,2698.5,2750,2800,2800,2800,2799.5,2800
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",10,,,,,,,,,,,,,,2000,2000,2200,2372.5,2147.5,2172.5,2150,2100,1895,1850,1989,1989,2100,1800,1700,1760,1950,1900,1737.5,1690,1750,1850,1800,1787.5,1834.5,1975,1899,1872.5,1975,1970,2000,2009,1912.5,1969,2025,2100,2150,2100,2195,2180,2250,2000,2100,1995,2089,2000,2200,2000,2272.5,2300,2395,2450,2399,2500,2400,2370,2400,2400,2500,2425,2495,2495,2395,2500,2397.5,2500,2390,2600,2450,2400,2400,2475,2700,2792.5,2700,2650,2600,2700,2700,2750,2800,2780,2700,2800,2800,2780,2800,2750,2850,2795,2800,2770,2752.5,2700,2750,2800,2802.5,2800,2800,2795,2800
