,RegionName,State,Metro,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
50,Bergen County,NJ,New York-Newark-Jersey City,2100.0,2100.0,1997.0,1950.0,1900.0,1900.0,1850.0,1800.0,1800.0,2000.0,2125.0,2125.0,2150.0,2022.5,2000.0,1997.5,2000.0,2100.0,2150.0,2100.0,2100.0,2100.0,2090.5,2100.0,2078.0,2090.0,2097.5,2100.0,2150.0,2100.0,2162.5,2150.0,2200.0,2200.0,2235.0,2250.0,2250.0,2200.0,2200.0,2050.0,2125.0,2000.0,2150.0,2072.5,2150.0,2100.0,2150.0,1997.0,2150.0,2150.0,2150.0,2150.0,2100.0,2150.0,2150.0,2195.0,2100.0,2100.0,2075.0,2100.0,2150.0,2150.0,2150.0,2175.0,2200.0,2250.0,2250.0,2275.0,2250.0,2200.0,2200.0,2150.0
59,Middlesex County,NJ,New York-Newark-Jersey City,1650.0,1600.0,1650.0,1650.0,1675.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1675.0,1675.0,1675.0,1700.0,1695.0,1700.0,1650.0,1700.0,1650.0,1650.0,1650.0,1650.0,1700.0,1700.0,1700.0,1700.0,1670.0,1650.0,1662.5,1650.0,1699.0,1697.5,1700.0,1700.0,1750.0,1750.0,1767.5,1725.0,1750.0,1800.0,1700.0,1700.0,1750.0,1750.0,1750.0,1770.0,1800.0,1800.0,1800.0,1800.0,1750.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
68,Essex County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1650.0,1600.0,1700.0,1800.0,1800.0,1800.0,1850.0,1750.0,1850.0,1925.0,1800.0,1800.0,1800.0,1675.0,1720.0,1750.0,1690.0,1662.5,1700.0,1825.0,1800.0,1950.0,1925.0,1800.0,1750.0,1650.0
85,Hudson County,NJ,New York-Newark-Jersey City,2000.0,2000.0,2027.5,2100.0,2200.0,2250.0,2250.0,2150.0,2150.0,2375.0,2350.0,2300.0,2275.0,2250.0,2200.0,2300.0,2399.0,2400.0,2400.0,2400.0,2450.0,2400.0,2300.0,2300.0,2300.0,2300.0,2350.0,2400.0,2400.0,2500.0,2500.0,2500.0,2500.0,2550.0,2450.0,2450.0,2500.0,2450.0,2400.0,2450.0,2300.0,2375.0,2350.0,2400.0,2400.0,2300.0,2350.0,2300.0,2400.0,2400.0,2400.0,2400.0,2460.0,2500.0,2450.0,2450.0,2400.0,2400.0,2450.0,2400.0,2400.0,2425.0,2495.0,2400.0,2400.0,2400.0,2450.0,2500.0,2500.0,2450.0,2400.0,2400.0
86,Monmouth County,NJ,New York-Newark-Jersey City,1775.0,1800.0,1800.0,1847.5,1857.5,1900.0,1800.0,1700.0,1650.0,1700.0,1700.0,1750.0,1750.0,1800.0,1800.0,1800.0,1825.0,1800.0,1797.5,1800.0,1737.5,1790.0,1750.0,1712.5,1750.0,1750.0,1725.0,1750.0,1800.0,1850.0,1850.0,1850.0,1800.0,1800.0,1800.0,1800.0,1850.0,1900.0,1900.0,1850.0,1800.0,1825.0,1750.0,1725.0,1700.0,1797.5,1750.0,1750.0,1750.0,1850.0,1850.0,1900.0,1945.0,1950.0,1850.0,1800.0,1800.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1900.0,2000.0,1850.0,1850.0,1900.0,1900.0,1950.0,1950.0,1975.0
99,Ocean County,NJ,New York-Newark-Jersey City,1350.0,1350.0,1300.0,1300.0,1450.0,1450.0,1475.0,1422.5,1500.0,1485.0,1425.0,1400.0,1399.5,1350.0,1400.0,1400.0,1400.0,1410.0,1500.0,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1500.0,1500.0,1512.5,1550.0,1500.0,1500.0,1525.0,1450.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1650.0,1500.0,1500.0,1500.0,1450.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1525.0,1572.5,1600.0,1550.0,1500.0,1500.0,1500.0,1500.0,1550.0,1600.0,1562.5,1525.0,1585.0,1500.0,1550.0,1600.0,1500.0,1587.5,1600.0,1550.0
106,Union County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1850.0,1950.0,1925.0,1862.5,2000.0,1850.0,1795.0,1750.0,1775.0,1800.0,1900.0,1950.0,1950.0,2100.0,1975.0,1875.0,1897.5,1900.0,1872.5,1895.0,1972.5,2000.0,2100.0,2000.0,1825.0,1950.0,1995.0
110,Camden County,NJ,Philadelphia-Camden-Wilmington,1200.0,1112.5,1112.5,1100.0,1143.5,1150.0,1087.5,1100.0,1162.5,1250.0,1292.5,1250.0,1250.0,1250.0,1275.0,1300.0,1300.0,1300.0,1300.0,1295.0,1295.0,1300.0,1300.0,1300.0,1200.0,1200.0,1200.0,1250.0,1295.0,1300.0,1272.5,1300.0,1250.0,1212.5,1300.0,1300.0,1400.0,1400.0,1350.0,1300.0,1300.0,1237.5,1250.0,1250.0,1300.0,1250.0,1300.0,1300.0,1350.0,1300.0,1300.0,1300.0,1350.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1350.0,1300.0,1320.0,1400.0,1399.5,1400.0,1300.0,1397.5,1400.0,1400.0,1410.0,1450.0
112,Passaic County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1612.5,1600.0,1500.0,1487.5,1597.5,1600.0,1550.0,1750.0,1650.0,1750.0,1887.5,1687.5,1800.0,1900.0,1900.0,1975.0,1900.0,2150.0,2125.0,2200.0,2000.0,2000.0,2000.0,1995.0,2195.0,2200.0,2325.0
116,Morris County,NJ,New York-Newark-Jersey City,1750.0,1800.0,1800.0,1900.0,1900.0,1850.0,1962.5,1950.0,1900.0,2000.0,2295.0,2200.0,2100.0,2100.0,2100.0,2100.0,2200.0,2150.0,2250.0,2149.5,2100.0,2200.0,2195.0,2100.0,2150.0,2200.0,2287.5,2275.0,2200.0,2100.0,2000.0,2100.0,2250.0,2300.0,2300.0,2250.0,2175.0,2200.0,2200.0,2150.0,2200.0,2100.0,2125.0,2250.0,2200.0,2300.0,2100.0,2150.0,2100.0,2075.0,2200.0,2225.0,2200.0,2200.0,2200.0,2300.0,2200.0,2200.0,2300.0,2300.0,2200.0,2200.0,2300.0,2300.0,2225.0,2250.0,2300.0,2300.0,2300.0,2250.0,2300.0,2300.0
