,RegionName,State,Metro,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
50,Bergen County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2090.0,1995.0,2000.0,1945.0,1995.0,2000.0,1900.0,1950.0,2000.0,2000.0,1950.0,1995.0,1975.0,1975.0,2000.0,2000.0,1995.0,1970.0,1900.0,1978.0,1950.0,2100.0,2100.0,1984.0,1989.5,2050.0,2100.0,2100.0,2108.5,2149.5,2137.0,2140.0,2100.0,2170.0,2175.0,2175.0,2200.0,2200.0,2195.0,2200.0,2200.0,2207.5,2300.0,2325.0,2254.0,2300.0,2300.0,2400.0,2440.0
60,Middlesex County,NJ,New York-Newark-Jersey City,1500.0,1500.0,1550.0,1550.0,1550.0,1575.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1675.0,1675.0,1650.0,1650.0,1650.0,1650.0,1600.0,1600.0,1600.0,1640.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1660.0,1650.0,1670.0,1675.0,1697.5,1700.0,1700.0,1700.0,1700.0,1670.0,1600.0,1700.0,1600.0,1675.0,1675.0,1700.0,1805.0,1750.0,1750.0,1770.0,1800.0,1770.5,1777.0,1750.0,1760.0,1750.0,1750.0,1755.0,1795.0,1788.0,1790.5,1800.0,1800.0,1800.0,1775.0,1800.0,1805.0,1800.0
69,Essex County,NJ,New York-Newark-Jersey City,1250.0,1250.0,1300.0,1300.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1225.0,1225.0,1250.0,1200.0,1250.0,1300.0,1287.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1295.0,1250.0,1300.0,1300.0,1325.0,1350.0,1375.0,1350.0,1400.0,1400.0,1400.0,1300.0,1399.0,1350.0,1400.0,1400.0,1400.0,1400.0,1500.0,1550.0,1500.0,1500.0,1500.0,1475.0,1450.0,1450.0,1450.0,1495.0,1450.0,1500.0,1595.0,1564.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
89,Hudson County,NJ,New York-Newark-Jersey City,1950.0,2050.0,2175.0,2170.0,2200.0,2150.0,2150.0,2006.0,2000.0,2000.0,2200.0,2115.0,1995.0,1950.0,1900.0,1962.5,2100.0,2100.0,2250.0,2350.0,2475.0,2500.0,2300.0,1975.0,1950.0,2100.0,2050.0,2085.0,2105.0,2140.0,2200.0,2192.0,2200.0,2190.0,2170.0,2250.0,2300.0,2350.0,2275.0,2150.0,2100.0,2150.0,2200.0,2100.0,2200.0,2070.0,2110.0,1950.0,2055.0,2075.0,2100.0,2200.0,2250.0,2200.0,2300.0,2300.0,2310.0,2345.0,2295.0,2250.0,2250.0,2295.0,2275.0,2300.0,2300.0,2350.0,2350.0,2350.0,2345.0,2350.0,2340.0,2325.0
90,Monmouth County,NJ,New York-Newark-Jersey City,1700.0,1675.0,1675.0,1700.0,1750.0,1807.5,1750.0,1650.0,1650.0,1650.0,1650.0,1677.5,1675.0,1700.0,1700.0,1700.0,1800.0,1745.0,1750.0,1700.0,1675.0,1700.0,1655.0,1650.0,1650.0,1650.0,1650.0,1600.0,1600.0,1700.0,1700.0,1650.0,1650.0,1627.5,1650.0,1630.0,1700.0,1778.0,1800.0,1750.0,1750.0,1780.0,1700.0,1700.0,1650.0,1675.0,1650.0,1660.0,1725.0,1700.0,1750.0,1750.0,1800.0,1775.0,1717.5,1700.0,1729.0,1750.0,1750.0,1750.0,1740.0,1750.0,1742.5,1775.0,1800.0,1800.0,1800.0,1830.0,1800.0,1800.0,1800.0,1800.0
103,Ocean County,NJ,New York-Newark-Jersey City,1240.0,1240.0,1150.0,1250.0,1300.0,1350.0,1400.0,1350.0,1495.0,1422.5,1400.0,1350.0,1350.0,1300.0,1337.5,1350.0,1400.0,1400.0,1500.0,1495.0,1397.5,1350.0,1350.0,1375.0,1350.0,1350.0,1382.5,1450.0,1476.0,1407.0,1362.5,1350.0,1382.0,1350.0,1350.0,1350.0,1400.0,1400.0,1400.0,1500.0,1400.0,1500.0,1500.0,1455.0,1500.0,1400.0,1400.0,1350.0,1450.0,1500.0,1500.0,1475.0,1500.0,1530.0,1577.0,1500.0,1485.0,1497.5,1450.0,1477.5,1500.0,1525.0,1500.0,1500.0,1525.0,1550.0,1532.5,1500.0,1500.0,1500.0,1450.0,1480.0
112,Union County,NJ,New York-Newark-Jersey City,1350.0,1425.0,1400.0,1387.5,1300.0,1395.0,1450.0,1500.0,1450.0,1400.0,1392.5,1450.0,1400.0,1500.0,1507.5,1525.0,1575.0,1540.0,1525.0,1575.0,1600.0,1525.0,1500.0,1500.0,1500.0,1450.0,1476.0,1500.0,1600.0,1600.0,1402.0,1400.0,1475.0,1425.0,1500.0,1500.0,1600.0,1595.0,1600.0,1652.5,1725.0,1650.0,1700.0,1700.0,1600.0,1600.0,1550.0,1650.0,1600.0,1725.0,1700.0,1725.0,1775.0,1750.0,1761.5,1770.0,1725.0,1775.0,1722.5,1700.0,1725.0,1732.5,1800.0,1800.0,1757.5,1755.0,1800.0,1800.0,1795.0,1795.0,1790.0,1768.0
121,Camden County,NJ,Philadelphia-Camden-Wilmington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1230.0,1150.0,1165.0,1250.0,1102.5,1075.0,1100.0,1100.0,1150.0,1200.0,1220.0,1222.5,1200.0,1175.0,1150.0,1177.5,1190.0,1200.0,1235.0,1250.0,1222.5,1255.0,1222.5,1300.0,1267.5,1250.0,1240.0,1250.0,1249.0,1300.0,1250.0,1250.0,1250.0,1292.5,1300.0,1300.0,1290.0,1256.0,1232.5,1210.0,1200.0,1254.0,1235.0,1250.0,1200.0,1225.0,1250.0,1230.0,1220.0,1232.5,1210.0,1250.0,1275.0
123,Passaic County,NJ,New York-Newark-Jersey City,1325.0,1300.0,1350.0,1350.0,1350.0,1425.0,1495.0,1500.0,1350.0,1375.0,1300.0,1310.0,1300.0,1287.5,1300.0,1300.0,1250.0,1250.0,1250.0,1250.0,1350.0,1350.0,1315.0,1400.0,1350.0,1400.0,1450.0,1562.5,1550.0,1500.0,1500.0,1500.0,1395.0,1347.5,1350.0,1400.0,1375.0,1400.0,1400.0,1400.0,1400.0,1400.0,1350.0,1480.0,1390.0,1450.0,1500.0,1450.0,1450.0,1400.0,1500.0,1600.0,1600.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1550.0,1599.0,1550.0,1575.0,1575.0,1650.0,1600.0,1600.0,1638.0,1622.5,1650.0,1650.0,1650.0
129,Morris County,NJ,New York-Newark-Jersey City,1800.0,1896.0,1850.0,1870.5,1900.0,1900.0,1950.0,1950.0,1762.5,1750.0,1675.0,1650.0,1650.0,1600.0,1650.0,1750.0,1900.0,1875.0,1997.5,2100.0,2030.0,2022.0,2000.0,1957.0,1900.0,1950.0,1950.0,1950.0,1953.0,1950.0,1950.0,1995.0,2000.0,1967.0,2002.5,2050.0,2050.0,2010.0,2000.0,2000.0,2000.0,2000.0,1910.0,2070.0,1895.0,2029.0,1950.0,1985.0,1950.0,1920.0,1975.0,2000.0,2000.0,2100.0,2100.0,2180.0,2150.0,2081.0,2125.0,2100.0,2087.5,2200.0,2282.5,2300.0,2289.0,2290.0,2319.0,2300.0,2220.0,2300.0,2195.5,2173.0
140,Burlington County,NJ,Philadelphia-Camden-Wilmington,1175.0,1199.5,1155.0,1150.0,1150.0,1150.0,1185.0,1200.0,1275.0,1275.0,1200.0,1200.0,1209.0,1225.0,1225.0,1225.0,1300.0,1325.0,1325.0,1306.0,1300.0,1300.0,1300.0,1290.0,1253.0,1260.0,1280.0,1281.0,1300.0,1300.0,1275.0,1290.0,1294.0,1252.5,1275.0,1250.0,1250.0,1242.5,1298.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1305.0,1300.0,1300.0,1250.0,1295.0,1295.0,1256.5,1300.0,1300.0,1350.0,1300.0,1300.0,1295.0,1300.0,1285.0,1300.0,1300.0,1325.0,1306.0,1320.0,1321.0,1310.0,1340.0,1350.0,1350.0,1379.0,1405.0
172,Mercer County,NJ,Trenton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,1825.0,1780.0,1800.0,1800.0,1750.0,1650.0
185,Somerset County,NJ,New York-Newark-Jersey City,1700.0,1685.0,1700.0,1700.0,1700.0,1725.0,1707.5,1700.0,1750.0,1750.0,1750.0,1717.5,1750.0,1700.0,1712.5,1735.0,1850.0,1850.0,1850.0,1847.5,1750.0,1650.0,1740.5,1750.0,1780.0,1800.0,1775.0,1800.0,1800.0,1775.0,1800.0,1750.0,1750.0,1710.0,1732.5,1750.0,1800.0,1800.0,1800.0,1750.0,1800.0,1790.0,1830.0,1797.5,1800.0,1750.0,1800.0,1800.0,1831.5,1800.0,1803.5,1800.0,1800.0,1850.0,1850.0,1850.0,1800.0,1795.0,1750.0,1750.0,1790.0,1775.0,1775.0,1820.0,1800.0,1850.0,1865.0,1850.0,1850.0,1800.0,1825.0,1818.0
212,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1100.0,1125.0,1125.0,1125.0,1080.0,1080.0,1100.0,1125.0,1175.0,1130.0,1130.0,1150.0,1250.0,1250.0,1249.5,1200.0,1150.0,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1270.0,1250.0,1200.0,1200.0,1200.0,1140.0,1125.0,1200.0,1250.0,1250.0,1250.0,1200.0,1250.0,1250.0,1256.0,1253.0,1256.0,1200.0,1295.0,1250.0,1325.0,1300.0,1250.0,1320.0,1200.0,1250.0,1272.5,1270.0,1300.0,1300.0,1270.0,1250.0,1317.5,1300.0,1200.0,1225.0,1250.0,1250.0,1250.0,1300.0,1288.0,1295.0,1350.0,1432.5,1350.0,1300.0,1307.0,1308.0
225,Atlantic County,NJ,Atlantic City-Hammonton,1250.0,1400.0,1500.0,1550.0,1600.0,1600.0,1600.0,1495.0,1375.0,1300.0,1250.0,1300.0,1300.0,1400.0,1400.0,1400.0,1400.0,1450.0,1400.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1230.0,1344.5,1350.0,1375.0,1388.0,1329.0,1200.0,1200.0,1150.0,1150.0,1150.0,1200.0,1200.0,1200.0,1250.0,1267.5,1275.0,1224.0,1160.0,1200.0,1100.0,1200.0,1150.0,1200.0,1179.0,1200.0,1250.0,1200.0,1200.0,1200.0,1190.0,1150.0,1179.0,1150.0,1149.0,1179.0,1200.0,1200.0,1200.0,1250.0,1250.0,1225.0,1200.0,1200.0,1200.0,1220.0,1250.0
368,Cumberland County,NJ,Vineland-Bridgeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,990.0,997.5,1025.0,1065.0,1043.0,1050.0,1100.0,1095.0,1095.0,1071.5,1055.0,1112.5,1075.0,1100.0,1030.0,1000.0,997.5,1000.0,1140.0,1125.0,1020.0,1115.0,1112.5
387,Sussex County,NJ,New York-Newark-Jersey City,1100.0,1100.0,1200.0,1200.0,1200.0,1125.0,1200.0,1235.0,1200.0,1200.0,1067.5,1195.0,1197.5,1200.0,1235.0,1200.0,1285.0,1300.0,1292.5,1217.5,1175.0,1250.0,1200.0,1217.5,1257.5,1350.0,1387.5,1350.0,1315.0,1275.0,1285.0,1292.5,1282.0,1279.0,1292.5,1300.0,1350.0,1400.0,1400.0,1400.0,1400.0,1280.0,1350.0,1400.0,1400.0,1350.0,1400.0,1400.0,1310.0,1350.0,1397.5,1475.0,1475.0,1400.0,1400.0,1395.0,1380.0,1395.0,1400.0,1385.0,1350.0,1350.0,1395.0,1350.0,1375.0,1475.0,1400.0,1412.5,1337.5,1385.0,1400.0,1400.0
