,RegionName,State,Metro,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
46,Bergen County,NJ,New York-Newark-Jersey City,1862.5,1750.0,1900.0,1900.0,2000.0,2000.0,2000.0,2239.0,2150.0,2000.0,2000.0,2100.0,2100.0,2050.0,2100.0,2100.0,2300.0,2400.0,2300.0,2250.0,2200.0,2200.0,2200.0,2200.0,2170.0,2197.5,2300.0,2300.0,2375.0,2350.0,2400.0,2400.0,2300.0,2250.0,2285.0,2300.0,2300.0,2300.0,2300.0,2362.5,2495.0,2375.0,2400.0,2300.0,2300.0,2200.0,2250.0,2100.0,2300.0,2287.5,2300.0,2316.5,2499.5,2500.0,2500.0,2500.0,2400.0,2300.0,2300.0,2322.5,2295.0,2250.0,2250.0,2400.0,2500.0,2550.0,2600.0,2600.0,2500.0,2450.0,2400.0,2380.0
52,Middlesex County,NJ,New York-Newark-Jersey City,1795.0,1750.0,1800.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1825.0,1850.0,1800.0,1850.0,1850.0,1850.0,1800.0,1800.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1900.0,1850.0,1850.0,1850.0,1950.0,1900.0,1900.0,1950.0,1950.0,1890.0,1900.0,1920.0,1900.0,1900.0,1925.0,1950.0,2000.0,2000.0,2000.0,1950.0,1950.0,1975.0,1950.0,1900.0,1900.0,1900.0,1950.0,2000.0,1950.0,1950.0,2000.0,1950.0,1950.0,2000.0,1975.0
60,Essex County,NJ,New York-Newark-Jersey City,1300.0,1350.0,1400.0,1339.5,1300.0,1300.0,1300.0,1300.0,1300.0,1400.0,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1650.0,1600.0,1500.0,1500.0,1500.0,1450.0,1450.0,1550.0,1550.0,1550.0,1562.5,1500.0,1595.0,1600.0,1600.0,1550.0,1500.0,1500.0,1550.0,1600.0,1600.0,1600.0,1600.0,1650.0,1600.0,1700.0,1700.0,1700.0,1485.0,1575.0,1600.0,1500.0,1550.0,1600.0,1600.0,1725.0,1800.0,1762.5,1750.0,1735.0,1675.0,1675.0,1700.0,1700.0,1650.0,1650.0,1600.0,1700.0,1700.0,1800.0,1780.0,1777.5,1800.0,1700.0,1700.0,1695.0
78,Hudson County,NJ,New York-Newark-Jersey City,1600.0,1612.5,1662.5,1750.0,1775.0,1650.0,1700.0,1750.0,1700.0,1700.0,1800.0,1800.0,1787.5,1700.0,1700.0,1730.0,1900.0,1900.0,1950.0,1880.0,1915.0,2000.0,1850.0,1750.0,1750.0,1875.0,1900.0,1850.0,1850.0,1907.5,2000.0,2000.0,2000.0,1994.0,1865.0,1880.0,1882.5,1900.0,1895.0,1875.0,1900.0,1900.0,1900.0,1940.0,1955.0,1950.0,1900.0,1850.0,1900.0,1925.0,1950.0,1950.0,1960.0,1975.0,2050.0,2050.0,2050.0,2050.0,2027.5,2000.0,2000.0,1950.0,1992.5,2005.0,2040.0,2000.0,2022.5,2000.0,2050.0,2000.0,2000.0,2000.0
89,Ocean County,NJ,New York-Newark-Jersey City,1600.0,1575.0,1535.0,1600.0,1700.0,1700.0,1600.0,1600.0,1600.0,1600.0,1512.5,1500.0,1550.0,1550.0,1550.0,1550.0,1550.0,1600.0,1600.0,1595.0,1550.0,1500.0,1500.0,1500.0,1530.0,1600.0,1650.0,1600.0,1700.0,1695.0,1650.0,1612.5,1600.0,1575.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1700.0,1650.0,1625.0,1650.0,1700.0,1600.0,1650.0,1625.0,1650.0,1650.0,1650.0,1700.0,1750.0,1700.0,1675.0,1700.0,1700.0,1700.0,1650.0,1675.0,1700.0,1750.0,1737.5,1800.0,1800.0,1750.0,1790.0,1700.0,1700.0,1700.0,1700.0
95,Union County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,2100.0,1900.0,1850.0,2000.0,1900.0,1950.0,1850.0,2000.0,2200.0,2225.0,2200.0,2100.0,2000.0,2000.0,1950.0,1950.0,1850.0,1850.0,1850.0,1900.0,2000.0,2025.0,2100.0,2200.0,2200.0,2000.0,2100.0,2000.0
99,Camden County,NJ,Philadelphia-Camden-Wilmington,1250.0,1250.0,1300.0,1350.0,1400.0,1375.0,1350.0,1300.0,1400.0,1400.0,1300.0,1400.0,1300.0,1300.0,1350.0,1350.0,1495.0,1450.0,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1450.0,1495.0,1475.0,1500.0,1500.0,1400.0,1400.0,1400.0,1400.0,1350.0,1400.0,1450.0,1450.0,1450.0,1485.0,1400.0,1450.0,1490.0,1550.0,1500.0,1495.0,1400.0,1450.0,1450.0,1400.0,1400.0,1450.0,1400.0,1447.5,1425.0,1400.0,1450.0,1400.0,1412.5,1447.5,1400.0,1400.0,1367.5,1350.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
101,Passaic County,NJ,New York-Newark-Jersey City,1500.0,1500.0,1500.0,1499.5,1500.0,1575.0,1500.0,1700.0,1650.0,1700.0,1650.0,1600.0,1600.0,1595.0,1600.0,1600.0,1637.5,1650.0,1562.5,1600.0,1700.0,1600.0,1650.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1800.0,1700.0,1650.0,1625.0,1600.0,1700.0,1687.5,1700.0,1685.0,1700.0,1650.0,1700.0,1700.0,1800.0,1700.0,1950.0,1775.0,1500.0,1650.0,1650.0,1625.0,1750.0,1750.0,1650.0,1700.0,1800.0,1800.0,1750.0,1800.0,1725.0,1725.0,1712.5,1787.5,1850.0,1985.0,1900.0,1900.0,2000.0,2000.0,1900.0,1925.0,1950.0
103,Morris County,NJ,New York-Newark-Jersey City,2150.0,2100.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2300.0,2300.0,2300.0,2300.0,2300.0,2450.0,2400.0,2387.5,2300.0,2300.0,2250.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2400.0,2400.0,2450.0,2450.0,2300.0,2325.0,2400.0,2350.0,2350.0,2350.0,2400.0,2400.0,2400.0,2450.0,2425.0,2350.0,2400.0,2350.0,2400.0,2300.0,2300.0,2250.0,2300.0,2400.0,2450.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2475.0,2350.0,2300.0,2350.0,2400.0,2500.0,2500.0,2500.0,2500.0,2400.0,2500.0,2500.0
110,Burlington County,NJ,Philadelphia-Camden-Wilmington,1500.0,1500.0,1500.0,1575.0,1600.0,1595.0,1550.0,1575.0,1575.0,1550.0,1575.0,1549.0,1500.0,1500.0,1500.0,1500.0,1600.0,1600.0,1600.0,1600.0,1550.0,1550.5,1595.0,1600.0,1592.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1649.0,1650.0,1650.0,1604.0,1600.0,1600.0,1600.0,1600.0,1600.0,1695.0,1600.0,1650.0,1595.0,1650.0,1625.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1625.0,1650.0,1650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1614.5,1600.0,1600.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
