"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1690,1742.5,1742.5,1795,1860,1800,1600,1542.5,1587.5,1650,1500,1500,1500,1495,1495,1475,1495,1475,1395,1350,1325,1350,1387.5,1395,1400,1400,1400,1375,1350,1370,1350,1350,1350,1325,1350,1350,1375,1400,1425,1400,1400,1400,1395,1395,1395,1400,1395,1375,1387.5,1395,1485,1450,1540,1500,1450,1500,1525,1550,1595,1595,1600,1675,1600,1655,1650,1695,1675,1695,1800,1850,1950,1999,2100,2050,2100,1895,1995,1750,1795,1800,1750,1795,1850,1950,1997.5,2050,1999,1995,1995,1950,1950,1995,1950,1950,1895,1945,1950,1975,1995,1995,1995,1995,1995,1995,1995,1995,2000,1999,2000,2045,2046.5,2049,2050
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1275,1300,1340,1195,1200,1263,1340,1395.5,1450,1351,1311,1325,1335,1399,1400,1450,1400,1395,1395,1395,1390,1395,1310,1286.5,1300,1400,1480,1499,1477,1495,1400,1445,1425,1475,1485,1548,1495,1505,1590,1582.5,1562,1596,1564,1525,1560,1600,1565,1500,1500,1517,1500,1549,1658.5,1600,1635,1650,1688,1525,1600,1777,1595,1600,1662,1667,1700,1625,1842,1994,2127,1894,1744,1862,1569.5,1500,1510,1535,1485,1495,1450,1426,1482.5,1495,1450,1472,1475,1495,1495,1500,1500,1550,1550,1595,1610,1625,1600,1600,1620,1650,1670,1699,1700,1695,1725,1650,1650,1620,1685,1625,1700,1630,1595,1570,1550
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1040,1200,1200,1250,1300,1302.5,1360,1200,1195,1200,1180,1235,1216,1225,1195,1150,1150,1140,1150,1180,1150,1200,1195,1195,1150,1175,1150,1180,1125,1163,1100,1099,1075,1075,1065,1095,1147.5,1127,1144,1100,1100,1100,1095,1075,1050,1054.5,1097,1095,1095,1100,1095,1049,1050,1050,1050,1095,1096.5,1050,1050,1050,1050,1095,1095,1040.5
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,745.5,769.5,750,795,743,650,650,651.5,649,650,650,665,667,660,674.5,650,675,692.5,710,750,750,725,725,750,750,750,775,725,725,725,749.5,700,700,699,699,725,700,725,775,749.5,759.5,750,750,775,750,770,752.5,765,785,840,799,799,800,775,795,795,752,750,750,842.5,850,875,900,900,900,935,925,900,899,900,877.5,895,895,900,925,925,922,975,950,925,920.5,901,900,950,925,950,950,975,995,950
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,1325,1295,1265,1250,1237.5,1249.5,1250,1237.5,1297,1300,1285,1290,1295,1250,1200,1200,1200,1200,1199.5,1200,1250,1265,1295,1295,1295,1250,1250,1300,1270,1250,1279,1300,1375,1350,1350,1375,1450,1400,1425,1425,1400,1375,1395,1375,1375,1395,1375,1395,1395,1425,1495,1499,1500,1495,1500,1550,1550,1595,1595,1595,1595,1550,1525,1500,1595,1550,1500,1495,1595,1605,1650,1650,1650,1650,1650,1695,1695,1745,1695,1695,1700,1745,1700,1750,1795,1800,1800,1850,1835,1795,1750,1795,1799,1795,1750,1795,1745,1750,1750
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1650,1637.5,1697,1685,1650,1700,1625,1625,1650,1625,1750,1790,1792.5,1700,1650,1750,1750,1700,1695,1700,1900,1875,1752.5,1900,1800,1900,1950,1935,1900,1995,1950,1885,1780,1850,1900,2100,1995,2000,1985,1995,2013,2072.5,2030,2150,2200,2095,1950,1860,1895,2100,1950,1940,2000,2050,2050,2099,2095,2090,2090,2092.5,2100,2013,2000,2050,2065,1995,2095,2100,2100,2097.5,2000,2100,2100,2100,2035,2050,2047.5,2090,2100,2095,2095,2150,2150
"Kings County","NY","New York-Newark-Jersey City","36","047",7,1400,1625,1800,1800,1800,1700,1600,1600,1550,1504,1650,1599,1625,1685,1700,1700,1750,1800,1850,1800,1800,1800,1800,1850,1850,1900,1900,2000,2000,2150,2195,2100,2000,2000,2000,2000,2000,2000,2000,2199,2225,2295,2350,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2445,2450,2500,2500,2599,2700,2600,2500,2595,2595,2600,2595,2525,2525,2500,2500,2500,2500,2550,2599,2575,2600,2750,2650,2399,2400,2400,2400,2400,2475,2500,2500,2545,2500,2475,2400,2400,2399,2395,2400,2475,2500,2550,2600,2600,2550,2500,2495,2450,2450,2475,2495,2500,2500,2550,2599
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,1500,1500,1475,1475,1500,1500,1550,1599,1500,1500,1599,1550,1575,1500,1375,1400,1450,1450,1500,1550,1600,1600,1650,1900,2000,1950,1900,1950,2000,2100,2100,2150,2200,2250,2000,2100,2000,2100,2000,1850,1900,1900,1999,2000,2000,1900,1990,2000,1950,1950,2000,2000,2050,2100,2100,2150,2003,2050,2150,2100,2000,2000,2100,2150,2050,2010.5,2075,2100,2100,2200,2200,2200,2200,2250,2227,2200,2200,2275,2250,2250,2300,2300,2300,2200,2200,2200,2200,2175,2100,2150,2150,2150,2200,2200,2200,2100
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1150,1050,1200,1075,1169,1349,1413,1425,1275,1245,1290,1229,1155,1099,1077.5,1052,1025,1080,1141,1141,1157.5,1282,1350,1395,1282.5,1200,1195,1205,1180,1200,1100,1275,1299.5,1300,1350,1350,1379,1395,1464.5,1350,1317.5,1325,1295,1212,1200,1195,1095,1100,1097,1100,1095,1097,1195,1100,1100,1195,1192.5,1200,1200,1195,1192.5,1150
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1625,1625,1650,1600,1625,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1650,1650,1665,1700,1725,1725,1750,1700,1700,1700,1700,1700,1700,1725,1800,1890,1900,1950,1995,1925,1950,1950,1925,1900,1975,2150,2150,2150,2075,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2195,2200,2200,2200,2200,2200,2200,2200,2225,2240,2295,2295,2300,2300,2300,2300,2300,2150,2150,2100,2100,2114.5,2150,2200,2200,2250,2200,2200,2180,2150,2132.5,2150,2199,2200,2200,2225,2250,2300,2300,2250,2200,2200,2200,2200,2250,2250,2250,2252,2300
