,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
50,Bergen County,NJ,New York-Newark-Jersey City,1970.5833333333333,2075.875,2151.0833333333335,2120.375,2130.8333333333335,2200.0
59,Middlesex County,NJ,New York-Newark-Jersey City,1647.9166666666667,1672.5,1669.375,1728.25,1772.5,1787.5
68,Essex County,NJ,New York-Newark-Jersey City,,,,1650.0,1795.8333333333333,1768.5416666666667
85,Hudson County,NJ,New York-Newark-Jersey City,2179.375,2339.5,2433.3333333333335,2381.25,2425.8333333333335,2435.0
86,Monmouth County,NJ,New York-Newark-Jersey City,1773.3333333333333,1780.2083333333333,1793.75,1799.7916666666667,1853.75,1902.0833333333333
99,Ocean County,NJ,New York-Newark-Jersey City,1408.9583333333333,1413.2916666666667,1486.4583333333333,1508.3333333333333,1520.625,1559.1666666666667
106,Union County,NJ,New York-Newark-Jersey City,,,,1931.25,1892.2916666666667,1940.2083333333333
110,Camden County,NJ,Philadelphia-Camden-Wilmington,1163.4166666666667,1288.75,1256.6666666666667,1303.125,1366.6666666666667,1377.25
112,Passaic County,NJ,New York-Newark-Jersey City,,,,1553.125,1713.3333333333333,2088.75
116,Morris County,NJ,New York-Newark-Jersey City,1942.2916666666667,2145.375,2201.0416666666665,2179.1666666666665,2208.3333333333335,2268.75
123,Burlington County,NJ,Philadelphia-Camden-Wilmington,1293.0833333333333,1391.6666666666667,1385.0,1343.75,1385.625,1451.5
144,Mercer County,NJ,Trenton,1601.4583333333333,1670.4166666666667,1652.9166666666667,1650.8333333333333,1697.9166666666667,1768.75
153,Somerset County,NJ,New York-Newark-Jersey City,1753.75,1819.7916666666667,1840.625,1849.7916666666667,1887.0416666666667,1925.0
168,Gloucester County,NJ,Philadelphia-Camden-Wilmington,,,,1310.8333333333333,1331.25,1385.4166666666667
174,Atlantic County,NJ,Atlantic City-Hammonton,,,,1240.0,1280.625,1320.8333333333333
