,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
50,Bergen County,NJ,New York-Newark-Jersey City,,2295.0,1975.4166666666667,1995.125,2133.75,2276.7916666666665
60,Middlesex County,NJ,New York-Newark-Jersey City,1568.75,1637.5,1637.5,1673.9583333333333,1754.7916666666667,1788.2083333333333
69,Essex County,NJ,New York-Newark-Jersey City,1225.0,1216.6666666666667,1294.3333333333333,1362.4166666666667,1464.5833333333333,1567.0
89,Hudson County,NJ,New York-Newark-Jersey City,2097.1666666666665,2154.7916666666665,2136.0,2162.9166666666665,2223.3333333333335,2319.1666666666665
90,Monmouth County,NJ,New York-Newark-Jersey City,1694.5833333333333,1704.1666666666667,1646.4583333333333,1716.0833333333333,1741.375,1786.4583333333333
103,Ocean County,NJ,New York-Newark-Jersey City,1328.9583333333333,1383.75,1380.0,1433.75,1495.1666666666667,1505.2083333333333
112,Union County,NJ,New York-Newark-Jersey City,1408.3333333333333,1522.7083333333333,1485.6666666666667,1635.2083333333333,1727.4166666666667,1776.5
121,Camden County,NJ,Philadelphia-Camden-Wilmington,,1185.357142857143,1163.3333333333333,1245.125,1260.9166666666667,1235.9583333333333
123,Passaic County,NJ,New York-Newark-Jersey City,1369.1666666666667,1300.2083333333333,1442.0833333333333,1416.25,1525.0,1613.2916666666667
129,Morris County,NJ,New York-Newark-Jersey City,1829.5,1877.625,1968.125,1991.5833333333333,2056.75,2246.375
140,Burlington County,NJ,Philadelphia-Camden-Wilmington,1192.875,1277.5,1275.875,1291.2916666666667,1293.875,1333.8333333333333
172,Mercer County,NJ,Trenton,,,,,,1768.5714285714287
185,Somerset County,NJ,New York-Newark-Jersey City,1715.4166666666667,1765.4583333333333,1768.5416666666667,1793.125,1806.6666666666667,1818.1666666666667
212,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1120.4166666666667,1224.9583333333333,1211.25,1267.0833333333333,1262.9166666666667,1306.7083333333333
225,Atlantic County,NJ,Atlantic City-Hammonton,1435.0,1316.6666666666667,1255.5416666666667,1202.2083333333333,1187.25,1214.5
368,Cumberland County,NJ,Vineland-Bridgeton,,,,,1046.8333333333333,1068.9583333333333
387,Sussex County,NJ,New York-Newark-Jersey City,1168.5416666666667,1230.8333333333333,1305.5,1377.5,1396.875,1385.8333333333333
435,Hunterdon County,NJ,New York-Newark-Jersey City,1422.9166666666667,1464.5833333333333,1600.4166666666667,1536.6666666666667,1590.4166666666667,1609.5833333333333
481,Warren County,NJ,Allentown-Bethlehem-Easton,,,,1248.75,1262.2916666666667,1177.0833333333333
