,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
53,Bergen County,NJ,New York-Newark-Jersey City,2047.0833333333333,2380.0,2516.875,2490.625,2622.7083333333335,2647.9166666666665
63,Middlesex County,NJ,New York-Newark-Jersey City,1943.3333333333333,1973.9583333333333,2030.4166666666667,2103.3333333333335,2203.75,2192.5
72,Essex County,NJ,New York-Newark-Jersey City,1343.75,1485.375,1507.9166666666667,1558.3333333333333,1707.9166666666667,1760.4166666666667
93,Hudson County,NJ,New York-Newark-Jersey City,1643.125,1692.9166666666667,1908.3333333333333,1912.5,1956.6666666666667,1959.8333333333333
94,Monmouth County,NJ,New York-Newark-Jersey City,,,2605.5555555555557,2588.9166666666665,2680.2083333333335,2810.4166666666665
107,Ocean County,NJ,New York-Newark-Jersey City,1652.0833333333333,1583.3333333333333,1650.0,1670.8333333333333,1721.6666666666667,1748.9583333333333
116,Union County,NJ,New York-Newark-Jersey City,,,,2085.5,2133.125,2176.6666666666665
125,Camden County,NJ,Philadelphia-Camden-Wilmington,1340.625,1414.1666666666667,1460.0,1484.5833333333333,1480.8333333333333,1471.25
127,Passaic County,NJ,New York-Newark-Jersey City,1525.0,1659.375,1680.4166666666667,1727.9166666666667,1760.8333333333333,1822.5
133,Morris County,NJ,New York-Newark-Jersey City,2254.1666666666665,2334.375,2376.0416666666665,2376.875,2484.375,2524.5833333333335
144,Burlington County,NJ,Philadelphia-Camden-Wilmington,1635.625,1605.5833333333333,1628.2916666666667,1652.4166666666667,1624.625,1640.625
178,Mercer County,NJ,Trenton,1834.375,1747.9166666666667,1778.3333333333333,1783.0833333333333,1772.0833333333333,1705.625
193,Somerset County,NJ,New York-Newark-Jersey City,2087.4166666666665,2145.4166666666665,2247.875,2291.6666666666665,2341.875,2343.7083333333335
221,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1535.2083333333333,1583.9583333333333,1604.1666666666667,1639.5833333333333,1695.2083333333333,1728.125
234,Atlantic County,NJ,Atlantic City-Hammonton,,1780.0,1953.9583333333333,1765.4166666666667,1683.3333333333333,1718.75
384,Cumberland County,NJ,Vineland-Bridgeton,,,,,1197.9166666666667,1212.5
402,Sussex County,NJ,New York-Newark-Jersey City,1460.4166666666667,1479.1666666666667,1484.375,1505.8333333333333,1548.9583333333333,1641.6666666666667
454,Hunterdon County,NJ,New York-Newark-Jersey City,1984.1666666666667,2118.5416666666665,2161.4583333333335,2118.7083333333335,2193.9583333333335,2197.9166666666665
500,Warren County,NJ,Allentown-Bethlehem-Easton,,,,1570.0,1456.25,1489.1666666666667
633,Salem County,NJ,Philadelphia-Camden-Wilmington,,,,,1127.9166666666667,1195.8333333333333
