,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
46,Bergen County,NJ,New York-Newark-Jersey City,1991.7916666666667,2200.0,2302.2916666666665,2306.875,2377.1666666666665,2431.25
52,Middlesex County,NJ,New York-Newark-Jersey City,1791.25,1818.75,1841.6666666666667,1895.0,1951.6666666666667,1952.0833333333333
60,Essex County,NJ,New York-Newark-Jersey City,1332.4583333333333,1483.3333333333333,1554.7916666666667,1609.1666666666667,1689.375,1712.7083333333333
78,Hudson County,NJ,New York-Newark-Jersey City,1708.3333333333333,1838.5416666666667,1905.9583333333333,1903.9583333333333,1990.625,2005.0
89,Ocean County,NJ,New York-Newark-Jersey City,1593.5416666666667,1549.5833333333333,1613.5416666666667,1631.25,1679.1666666666667,1733.5416666666667
95,Union County,NJ,New York-Newark-Jersey City,,,,1966.0,2027.0833333333333,2006.25
99,Camden County,NJ,Philadelphia-Camden-Wilmington,1339.5833333333333,1395.4166666666667,1435.0,1460.0,1423.75,1455.4166666666667
101,Passaic County,NJ,New York-Newark-Jersey City,1572.875,1624.5833333333333,1689.5833333333333,1712.2916666666667,1720.8333333333333,1886.25
103,Morris County,NJ,New York-Newark-Jersey City,2258.3333333333335,2323.9583333333335,2364.5833333333335,2381.25,2433.3333333333335,2439.5833333333335
110,Burlington County,NJ,Philadelphia-Camden-Wilmington,1553.6666666666667,1557.9583333333333,1616.25,1617.9166666666667,1618.75,1634.5416666666667
123,Mercer County,NJ,Trenton,1776.6666666666667,1740.8333333333333,1750.0,1758.3333333333333,1720.4166666666667,1696.875
130,Somerset County,NJ,New York-Newark-Jersey City,1914.375,2006.25,2053.3333333333335,2067.7083333333335,2129.1666666666665,2120.8333333333335
143,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1522.4583333333333,1497.875,1541.25,1605.0,1646.875,1705.0
151,Atlantic County,NJ,Atlantic City-Hammonton,1733.125,1583.3333333333333,1620.8333333333333,1572.9166666666667,1547.9166666666667,1582.9166666666667
201,Cumberland County,NJ,Vineland-Bridgeton,,,,,1238.3333333333333,1238.5416666666667
206,Sussex County,NJ,New York-Newark-Jersey City,1426.0416666666667,1465.625,1498.75,1564.5833333333333,1608.3333333333333,1662.5
224,Hunterdon County,NJ,New York-Newark-Jersey City,,,,1900.0,1853.125,1988.5416666666667
239,Warren County,NJ,Allentown-Bethlehem-Easton,1484.7916666666667,1522.0833333333333,1503.75,1493.3333333333333,1470.2083333333333,1512.5
245,Cape May County,NJ,Ocean City,,,,,,1736.111111111111
271,Salem County,NJ,Philadelphia-Camden-Wilmington,,,,,1207.7272727272727,1209.375
