"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,975,1050,1050,1200,1195,999,900,875,875,875,900,950,950,975,947.5,935,950,1000,990,1000,990,995,1050,1100,1100,1144,1120,1095,1100,1050,1099,950,1050,1063,1050,1002,1050,1100,1150,1200,1250,1225,1200,1225,1250,1275,1300,1332.5,1375,1325,1399,1395,1425,1401,1425,1450,1416,1527.5,1550,1590,1559.5,1650,1545,1635,1500,1535,1495,1518,1450,1470,1700,1850,1750,1710,1828,1900,1870,1875,1860,1795,1817.5,1775,1795,1795,1795.5,1850,1785,1800,1850,1800,1850,1860,1800,1809.5,1800,1840,1925,1905,1895,1875
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,1500,1550,1600,1450,1400,1330,1350,1355.5,1330,1298.5,1300,1325,1300,1265,1275,1250,1220.5,1216,1260,1280,1258.5,1300,1355,1361,1360,1365,1365.5,1375,1414.5,1400,1395,1414,1421,1430,1475,1488,1465,1428,1455,1455,1448,1425,1425,1475,1507,1557.5,1470,1577,1570,1499,1443.5,1500,1600,1510,1492.5,1500,1511,1500,1490,1500,1500,1513,1495,1500,1527,1495,1465,1470,1442,1431.5,1411,1425,1462,1490,1460,1472,1469.5,1450,1450,1450,1460,1485,1500,1525,1515,1500,1495,1500,1478,1465,1450,1450,1464,1486,1500,1465,1450,1450,1450,1495,1450,1541,1500,1480,1450,1410
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1200,1189,1199,1195,1153,1179,1239,1212,1259,1229,1195,1217.5,1219,1349,1339,1349,1325,1310,1350,1306,1309,1269,1253,1266.5,1245,1245,1250,1277,1145
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,1650,1500,1500,1412.5,1395,1350,1350,1295,1295,1295,1295,1200,1195,1195,1200,1200,1197,1150,1150,1145,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1125,1100,1100,1100,1100,1100,1125,1150,1150,1125,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1200,1225,1215,1250,1225,1225,1250,1250,1250,1295,1300,1350,1350,1350,1300,1300,1300,1300,1299,1325,1350,1350,1395,1399,1350,1350,1350,1300,1300,1300,1325,1295,1350,1350,1395,1400,1437.5,1436,1425,1400,1400,1400,1400,1400,1400,1425,1450,1495,1500,1499,1500,1495,1495,1475,1495,1495,1495,1500,1549,1595,1595,1595,1598
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,1436,1495,1475,1425,1395,1498,1475,1625,1612.5,1600,1345,1395,1500,1495,1497,1550,1400,1418,1492.5,1350,1450,1392.5,1390,1495,1651,1715,1640,1697,1685,1633.5,1694,1590.5,1650,1595,1595,1650,1719.5,1700,1701.5,1797.5,1788,1811.5,1835,1805,1771,1789,1799,1800,1760,1734,1695,1725,1743,1795,1810
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,1695,1650,1840,1650,1650,1535,1650,1522.5,1613.5,1597.5,1600,1620,1580,1450,1500,1640,1620,1500,1300,1367.5,1236,1223.5,1217,1250,1274,1249,1217,1250,1290,1295,1300,1230,1250,1235,1295,1277,1290,1325,1345,1377,1575,1437.5,1532,1605,1575,1572.5,1545,1515,1587.5,1622.5,1594,1580,1605,1625,1620,1625,1637.5,1650,1670,1625,1595,1652.5,1730,1745,1770,1815,1795,1765,1775,1797.5,1787.5,1800,1800,1765,1790,1795,1805,1890,1800,1807.5,1800,1855,1835,1835,1835,1825,1845,1920,1917,1850,1875,1825,1840,1822,1822,1875,1875,1865,1875,1930,1980,2016,1995.5,1975,1928.5,1935,1962,1975,1960,1960,1952
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2200,2195,2150,2200,2290,2300,2300,2300,2250,2200,2250,2200,2100,2200,2200,2200,2200,2200,2200,2200,2200,2195,2125,2100,2150,2200,2250,2200,2280,2300
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1587,1550,1600,1500,1499,1500,1500,1500,1500,1578.5,1611,1592,1601.5,1634,1650,1580
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,850,875,850,825,800,800,823,799,800,770,725,752.5,818.5,775,892,889,836,750,775,791,840,850,863,825,855,889,799,800,855,900,960.5,995,1050,999.5,975,950,950,975,970,1035,1050,1040,995,1007.5,1084,1041,1054.5,1030.5,1025,1113,1075,1111,1145,1159,1069,1015,1055,1060,1095,1089,1110,1150,1155.5,1095,1101.5,1095,1098.5,1150,1150,1095,1165,1175,1169.5,1165,1170,1175,1177.5,1215,1225,1225,1250,1202,1229,1250,1200,1185.5,1210,1200,1200,1232.5,1200,1224,1241.5,1230,1232,1230,1232,1225,1244,1244,1270
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1675,1650,1650,1650,1624.5,1600,1600,1600,1650,1650,1625,1600,1600,1600,1600,1600,1600,1600,1550,1450,1400,1375,1450,1500,1500,1500,1500,1400,1450,1425,1400,1400,1400,1400,1400,1400,1450,1475,1500,1600,1600,1700,1700,1675,1700,1700,1655.5,1650,1700,1975,2000,1990,1900,1850,1800,1725,1700,1700,1700,1730,1795,1795,1800,1800,1900,1900,1895,1950,1900,1895,1900,1900,1925,1900,1900,2000,1875,1900,1925,2000,1800,1800,1950,1950,1900,1950,2000,2050,2057.5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2033,2050,2100,2100,2100,2050,2000,2000,2000,2050,2100,2077,2040,2055
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5,850,885,899,895,985,951.5,937.5,895,916,899.5,957.5,975,1049.5,1100,975,985,950,953,1062.5,1075,1050,1150,1195,1150,1295,1412.5,1200,1162.5,1300,1300,1300,1150
"King County","WA","Seattle-Tacoma-Bellevue","53","033",12,,,,,,,,,,,,,,995,1070,1040,1050,1050,1000,1062.5,995,895,915,899,922,1000,1045,1055,1080.5,1095,1100,1150,1140,1168,1116,1091.5,1105,1166.5,1150,1100,1125,1150,1195,1245,1195,1222.5,1234.5,1225,1200,1197,1225,1280,1350,1394.5,1400,1400,1386.5,1395,1381,1362,1375,1384,1400,1392,1423,1425,1445,1443,1400,1379,1427,1425,1460,1495,1484.5,1499.5,1478,1433.5,1425,1492.5,1423,1425,1488.5,1495,1485,1519,1515.5,1535,1595,1588.5,1575,1514,1499,1450,1451,1495,1475,1475,1505,1595,1590,1590,1600,1585,1600,1575,1585,1560,1572,1581,1599,1600,1596,1575
"Wayne County","MI","Detroit-Warren-Dearborn","26","163",13,900,900,955,950,1000,950,950,900,900,900,900,800,800,800,850,850,850,850,850,850,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,765,775,775,775,800,800,799,800,775,795,795,795,795,785,800,800,800,800,800,800,800,790,800,800,800,800,800,800,800,800,825,850,800,825,825,800,800,800,820,825,850,850,850,850,850,850,850,850,850,850,850,850,875,850,850,862.5,850,887.5,875,875,866,875,900,900,900,900,900
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.5,1325,1295,1350,1260,1225,1225,1212.5,1225,1225,1225,1225,1130,1150,1160,1285,1225,1258.5,1397.5,1439,1365,1395,1299,1322.5,1265,1255,1250,1255,1270,1270,1287.5,1330
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara","06","085",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1425,1375,1289,1355,1435,1525,1478,1492.5,1490,1524,1554.5,1554.5,1589.5,1500,1673,1620,1648,1648,1725,1780,1765,1797,2062.5,2084.5,2060,2070,2095,2092.5,2115,2150,2144.5,2139,2233.5,2310,2400,2370,2355,2345,2354,2290,2299,2292.5,2227,2277,2279,2350,2081,2209,2120,2185,2200,2235,2225,2255,2225,2195,2295,2334,2290.5,2303,2320,2295,2215,2255,2230,2281,2500,2572,2600,2600,2650,2600,2578,2500,2500,2491.5,2495,2540,2510.5,2595,2670,2677.5
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach","12","011",16,2400,2300,2295,2100,2200,2100,2000,2000,2100,1962.5,2000,2150,2200,2200,2200,2200,2200,2200,2200,2200,2100,2100,2100,2000,1950,2000,1800,1800,1800,1795,1850,1700,1798.5,1800,1800,1800,1850,1850,1800,1850,1875,1950,2000,2000,2000,1900,2000,2000,2000,2000,1995,2199,2200,2150,2100,2100,2100,2100,2050,2000,2000,2050,2100,2100,2100,2150,2200,2195,2250,2250,2100,2200,2200,2250,2300,2200,2350,2200,2197.5,2150,2400,2100,2100,2200,2250,2300,2285,2300,2300,2299,2300,2300,2300,2299,2299,2160,2200,2200,2250,2240,2300,2235.5,2200,2195,2199.5,2197,2195,2197,2200,2200,2250,2300,2300,2300
