,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
0,Bergen County,NJ,New York-Newark-Jersey City,,,2193.0416666666665,2191.3333333333335,2371.4583333333335,2520.8333333333335
1,Middlesex County,NJ,New York-Newark-Jersey City,1585.2083333333333,1631.7916666666667,1687.9166666666667,1729.5833333333333,1827.9166666666667,1888.375
2,Essex County,NJ,New York-Newark-Jersey City,1276.0416666666667,1253.75,1307.5,1432.0833333333333,1592.5,1675.625
3,Hudson County,NJ,New York-Newark-Jersey City,,,2418.5416666666665,2468.5416666666665,2480.1666666666665,2647.4166666666665
4,Monmouth County,NJ,New York-Newark-Jersey City,1740.2083333333333,1769.5833333333333,1773.75,1783.0416666666667,1841.25,1916.6666666666667
5,Ocean County,NJ,New York-Newark-Jersey City,1271.0416666666667,1297.0833333333333,1338.5416666666667,1387.9166666666667,1458.75,1482.7083333333333
6,Union County,NJ,New York-Newark-Jersey City,1551.6666666666667,1657.4166666666667,1638.0416666666667,1765.9166666666667,1854.5416666666667,1904.7083333333333
7,Camden County,NJ,Philadelphia-Camden-Wilmington,1140.0833333333333,1125.0,1228.3333333333333,1345.6666666666667,1363.0833333333333,1322.5416666666667
8,Passaic County,NJ,New York-Newark-Jersey City,1481.25,1512.5,1565.2083333333333,1536.875,1614.5833333333333,1630.4166666666667
9,Morris County,NJ,New York-Newark-Jersey City,1955.8333333333333,2040.0,2128.6666666666665,2207.75,2305.75,2396.6666666666665
10,Burlington County,NJ,Philadelphia-Camden-Wilmington,1269.25,1305.4166666666667,1327.125,1342.2916666666667,1393.3333333333333,1444.5833333333333
11,Mercer County,NJ,Trenton,,,,,,1173.75
12,Somerset County,NJ,New York-Newark-Jersey City,1742.7083333333333,1754.1666666666667,1823.75,1868.9583333333333,1925.0,1931.875
13,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1182.2916666666667,1035.4166666666667,1193.5833333333333,1255.625,1273.5416666666667,1324.0416666666667
14,Atlantic County,NJ,Atlantic City-Hammonton,1278.9583333333333,1217.7083333333333,1237.1666666666667,1201.5,1184.4166666666667,1191.4583333333333
15,Sussex County,NJ,New York-Newark-Jersey City,,,,,1418.75,1412.2916666666667
16,Hunterdon County,NJ,New York-Newark-Jersey City,,,,,1643.75,1776.0416666666667
